Neighbourhood,Standard,Combo,Dog,Decomissioned,Tap
Glenbrooke North,2,0,0,0,0
Glenbrooke South,7,2,1,0,0
Kelvin,2,1,1,0,1
Connaught Heights,1,0,0,0,0
Queensborough,4,0,0,0,0
North Arm North,0,0,1,0,0
North Arm South,1,4,1,0,0
Downtown,2,3,1,0,0
Westend,1,0,0,0,0
Sapperton,4,0,1,1,0
Victory Heights,0,1,0,0,0
Uptown,2,0,0,0,0
